iter	Passed	Remaining
401	16222	24132
402	16260	24087
403	16297	24042
404	16331	23993
405	16372	23954
406	16412	23912
407	16457	23879
408	16492	23831
409	16536	23796
410	16575	23754
411	16611	23708
412	16648	23662
413	16691	23626
414	16732	23586
415	16778	23553
416	16817	23512
417	16853	23465
418	16889	23419
419	16934	23385
420	16979	23351
421	17016	23307
422	17056	23266
423	17091	23218
424	17121	23164
425	17153	23113
426	17191	23069
427	17228	23025
428	17268	22984
429	17309	22945
430	17349	22904
431	17396	22872
432	17437	22833
433	17481	22798
434	17522	22758
435	17555	22709
436	17591	22663
437	17635	22628
438	17676	22589
439	17713	22544
440	17756	22507
441	17799	22470
442	17840	22431
443	17881	22391
444	17915	22343
445	17951	22298
446	17989	22255
447	18024	22208
448	18061	22165
449	18098	22120
450	18134	22075
451	18171	22031
452	18214	21994
453	18259	21959
454	18296	21915
455	18336	21874
456	18369	21826
457	18401	21776
458	18435	21729
459	18472	21685
460	18516	21649
461	18555	21607
462	18596	21568
463	18633	21524
464	18672	21482
465	18716	21447
466	18755	21405
467	18789	21358
468	18831	21320
469	18871	21281
470	18906	21234
471	18946	21194
472	18984	21152
473	19022	21109
474	19062	21069
475	19107	21034
476	19143	20989
477	19176	20941
478	19207	20891
479	19251	20855
480	19290	20814
481	19327	20771
482	19365	20728
483	19404	20687
484	19443	20646
485	19485	20607
486	19522	20564
487	19555	20517
488	19594	20475
489	19635	20437
490	19671	20392
491	19711	20352
492	19751	20312
493	19792	20272
494	19826	20226
495	19862	20182
496	19895	20136
497	19931	20091
498	19968	20048
499	20007	20007
500	20045	19965
501	20085	19925
502	20123	19883
503	20167	19847
504	20213	19813
505	20255	19775
506	20299	19738
507	20343	19703
508	20380	19660
509	20418	19618
510	20451	19570
511	20485	19525
512	20525	19485
513	20563	19443
514	20602	19402
515	20643	19363
516	20680	19320
517	20720	19280
518	20766	19245
519	20807	19206
520	20843	19162
521	20879	19119
522	20925	19085
523	20970	19049
524	21011	19010
525	21048	18968
526	21086	18926
527	21122	18882
528	21165	18844
529	21205	18804
530	21244	18763
531	21279	18719
532	21318	18678
533	21355	18635
534	21397	18597
535	21446	18565
536	21487	18526
537	21535	18492
538	21586	18462
539	21636	18431
540	21682	18396
541	21729	18361
542	21776	18327
543	21823	18292
544	21867	18256
545	21914	18221
546	21958	18185
547	21998	18144
548	22038	18104
549	22081	18066
550	22120	18025
551	22163	17987
552	22206	17950
553	22250	17912
554	22288	17870
555	22336	17837
556	22381	17800
557	22418	17758
558	22453	17713
559	22495	17674
560	22530	17630
561	22572	17592
562	22617	17555
563	22657	17514
564	22694	17473
565	22737	17435
566	22772	17390
567	22814	17351
568	22851	17309
569	22891	17268
570	22927	17225
571	22967	17185
572	23010	17147
573	23054	17109
574	23086	17063
575	23126	17023
576	23168	16984
577	23209	16945
578	23245	16901
579	23280	16858
580	23324	16820
581	23363	16779
582	23401	16738
583	23443	16699
584	23484	16660
585	23522	16618
586	23560	16576
587	23597	16533
588	23641	16496
589	23676	16453
590	23719	16414
591	23754	16371
592	23800	16335
593	23835	16291
594	23878	16253
595	23915	16210
596	23959	16173
597	24001	16135
598	24041	16094
599	24080	16053
600	24118	16012
601	24154	15969
602	24202	15934
603	24247	15897
604	24293	15861
605	24333	15820
606	24370	15778
607	24407	15736
608	24446	15695
609	24484	15653
610	24524	15613
611	24563	15572
612	24608	15535
613	24670	15509
614	24719	15474
615	24768	15440
616	24811	15401
617	24849	15360
618	24889	15319
619	24930	15280
620	24968	15238
621	25004	15195
622	25046	15156
623	25084	15115
624	25125	15075
625	25165	15034
626	25198	14990
627	25241	14951
628	25279	14910
629	25313	14866
630	25351	14825
631	25386	14782
632	25428	14743
633	25474	14706
634	25509	14663
635	25550	14623
636	25589	14582
637	25628	14541
638	25670	14502
639	25712	14463
640	25755	14424
641	25798	14386
642	25839	14346
643	25879	14306
644	25920	14266
645	25960	14226
646	25997	14184
647	26035	14142
648	26074	14102
649	26115	14062
650	26157	14022
651	26195	13981
652	26231	13939
653	26273	13900
654	26308	13857
655	26348	13816
656	26379	13771
657	26424	13734
658	26463	13693
659	26501	13652
660	26541	13611
661	26581	13571
662	26624	13533
663	26664	13492
664	26700	13450
665	26739	13409
666	26780	13370
667	26825	13332
668	26871	13295
669	26910	13254
670	26953	13215
671	26995	13176
672	27037	13137
673	27080	13098
674	27120	13058
675	27158	13016
676	27201	12978
677	27236	12935
678	27275	12894
679	27308	12851
680	27346	12810
681	27389	12770
682	27426	12729
683	27467	12689
684	27506	12648
685	27550	12610
686	27584	12567
687	27620	12525
688	27653	12482
689	27692	12441
690	27736	12403
691	27780	12364
692	27822	12325
693	27862	12285
694	27905	12246
695	27940	12203
696	27981	12164
697	28016	12121
698	28058	12082
699	28098	12042
700	28134	12000
701	28169	11957
702	28205	11916
703	28247	11876
704	28288	11836
705	28327	11796
706	28369	11756
707	28411	11717
708	28453	11678
709	28488	11636
710	28522	11593
711	28561	11553
712	28607	11515
713	28652	11476
714	28685	11434
715	28720	11391
716	28762	11352
717	28802	11312
718	28844	11272
719	28877	11230
720	28916	11189
721	28958	11150
722	28998	11110
723	29031	11067
724	29074	11028
725	29113	10987
726	29151	10946
727	29197	10909
728	29242	10870
729	29277	10828
730	29319	10789
731	29361	10749
732	29402	10710
733	29440	10669
734	29474	10626
735	29519	10588
736	29555	10546
737	29589	10504
738	29629	10464
739	29664	10422
740	29700	10381
741	29737	10339
742	29776	10299
743	29815	10258
744	29858	10220
745	29902	10181
746	29948	10143
747	29986	10102
748	30023	10061
749	30065	10021
750	30103	9981
751	30142	9940
752	30186	9901
753	30225	9861
754	30271	9823
755	30310	9782
756	30351	9742
757	30385	9700
758	30428	9661
759	30472	9622
760	30506	9581
761	30549	9541
762	30586	9500
763	30621	9459
764	30661	9418
765	30698	9377
766	30738	9337
767	30773	9296
768	30812	9255
769	30847	9214
770	30883	9173
771	30922	9132
772	30961	9092
773	30999	9051
774	31037	9010
775	31078	8971
776	31118	8931
777	31155	8890
778	31189	8848
779	31227	8807
780	31264	8767
781	31299	8725
782	31334	8684
783	31371	8643
784	31406	8601
785	31444	8561
786	31484	8521
787	31524	8481
788	31565	8441
789	31603	8401
790	31636	8359
791	31678	8319
792	31715	8278
793	31756	8238
794	31788	8197
795	31826	8156
796	31865	8116
797	31904	8076
798	31946	8036
799	31998	7999
800	32054	7963
801	32100	7925
802	32148	7886
803	32192	7848
804	32238	7809
805	32284	7770
806	32337	7733
807	32378	7694
808	32427	7656
809	32472	7617
810	32523	7579
811	32567	7540
812	32613	7501
813	32657	7462
814	32706	7424
815	32753	7385
816	32799	7346
817	32840	7306
818	32883	7267
819	32923	7227
820	32965	7187
821	33004	7147
822	33043	7106
823	33082	7066
824	33128	7027
825	33167	6986
826	33216	6948
827	33255	6908
828	33292	6867
829	33331	6826
830	33370	6786
831	33403	6744
832	33441	6704
833	33481	6664
834	33529	6625
835	33572	6585
836	33608	6545
837	33644	6504
838	33680	6463
839	33718	6422
840	33756	6382
841	33793	6341
842	33839	6302
843	33878	6261
844	33916	6221
845	33958	6181
846	34000	6141
847	34042	6101
848	34078	6061
849	34118	6020
850	34160	5981
851	34202	5941
852	34241	5900
853	34293	5862
854	34344	5824
855	34388	5785
856	34433	5745
857	34477	5706
858	34514	5665
859	34556	5625
860	34597	5585
861	34630	5544
862	34669	5503
863	34719	5465
864	34760	5425
865	34799	5384
866	34839	5344
867	34878	5304
868	34918	5263
869	34956	5223
870	34993	5182
871	35030	5142
872	35070	5101
873	35111	5061
874	35151	5021
875	35189	4981
876	35228	4940
877	35260	4899
878	35296	4858
879	35336	4818
880	35373	4778
881	35416	4738
882	35457	4698
883	35496	4657
884	35542	4618
885	35581	4578
886	35619	4537
887	35657	4497
888	35693	4456
889	35735	4416
890	35770	4376
891	35812	4336
892	35849	4295
893	35888	4255
894	35924	4214
895	35969	4174
896	36007	4134
897	36053	4095
898	36085	4054
899	36126	4014
900	36163	3973
901	36207	3933
902	36242	3893
903	36280	3852
904	36322	3812
905	36364	3772
906	36406	3732
907	36556	3703
908	36614	3665
909	36667	3626
910	36716	3587
911	36755	3546
912	36796	3506
913	36838	3466
914	36882	3426
915	36924	3386
916	36963	3345
917	37002	3305
918	37044	3265
919	37079	3224
920	37126	3184
921	37160	3143
922	37195	3102
923	37232	3062
924	37264	3021
925	37305	2981
926	37339	2940
927	37376	2899
928	37421	2859
929	37463	2819
930	37507	2779
931	37547	2739
932	37585	2699
933	37630	2659
934	37665	2618
935	37699	2577
936	37734	2537
937	37770	2496
938	37809	2456
939	37852	2416
940	37893	2375
941	37939	2336
942	37975	2295
943	38013	2255
944	38056	2214
945	38088	2174
946	38125	2133
947	38165	2093
948	38202	2053
949	38241	2012
950	38281	1972
951	38318	1932
952	38354	1891
953	38400	1851
954	38441	1811
955	38481	1771
956	38518	1730
957	38554	1690
958	38593	1649
959	38630	1609
960	38676	1569
961	38716	1529
962	38752	1488
963	38792	1448
964	38828	1408
965	38868	1368
966	38910	1327
967	38951	1287
968	38988	1247
969	39028	1207
970	39072	1166
971	39113	1126
972	39150	1086
973	39190	1046
974	39228	1005
975	39260	965
976	39295	925
977	39333	884
978	39376	844
979	39419	804
980	39461	764
981	39506	724
982	39544	683
983	39581	643
984	39630	603
985	39663	563
986	39699	522
987	39736	482
988	39777	442
989	39824	402
990	39860	361
991	39905	321
992	39941	281
993	39976	241
994	40014	201
995	40057	160
996	40096	120
997	40135	80
998	40171	40
999	40207	0
