iter	Logloss
0	0.6479613429
1	0.6134488462
2	0.5871117543
3	0.5669939229
4	0.5515979651
5	0.5397821044
6	0.5307266673
7	0.5237681159
8	0.5184165206
9	0.5142891983
10	0.5111046354
11	0.5086453424
12	0.5067463457
13	0.5052780255
14	0.5041377476
15	0.5032112101
16	0.5025290733
17	0.5019783083
18	0.5015627263
19	0.5012082579
20	0.5009490074
21	0.5007387711
22	0.500584871
23	0.5004609586
24	0.5003652997
25	0.5002816555
26	0.5002079664
27	0.5001191701
28	0.5000673675
29	0.5000236509
30	0.4999926434
31	0.4999750837
32	0.4999593191
33	0.4999107192
34	0.4998623447
35	0.4998158167
36	0.4997763021
37	0.4997495237
38	0.4997081929
39	0.4996895205
40	0.4996726556
41	0.4996499721
42	0.4996235436
43	0.4995987937
44	0.4995667314
45	0.4995522307
46	0.4995217998
47	0.4994879439
48	0.4994641589
49	0.4994481539
50	0.499435098
51	0.4994011067
52	0.4993751287
53	0.4993319224
54	0.499314827
55	0.4993026048
56	0.499281929
57	0.4992659868
58	0.4992542592
59	0.4992073614
60	0.4991781579
61	0.4991557871
62	0.4991420663
63	0.4991236628
64	0.4991024866
65	0.4990887311
66	0.4990768419
67	0.4990491702
68	0.499028655
69	0.4990140201
70	0.4990068837
71	0.498987582
72	0.4989615668
73	0.4989392818
74	0.4989283792
75	0.4989072947
76	0.4988833648
77	0.498852298
78	0.4988247766
79	0.4987966369
80	0.4987807133
81	0.4987682098
82	0.4987400669
83	0.4987272072
84	0.4987018608
85	0.4986895614
86	0.498665561
87	0.498645576
88	0.4986171581
89	0.4985910459
90	0.4985601016
91	0.4985427419
92	0.4985211354
93	0.4985074619
94	0.498481433
95	0.4984641747
96	0.4984493839
97	0.4984391237
98	0.4984096238
99	0.4983981686
100	0.4983661787
101	0.4983557359
102	0.4983266048
103	0.4983091739
104	0.4982885075
105	0.4982588128
106	0.4982455572
107	0.4982261656
108	0.4982089444
109	0.498183357
110	0.4981536477
111	0.4981267536
112	0.4981005133
113	0.4980874376
114	0.4980560346
115	0.498018634
116	0.4980026057
117	0.4979685733
118	0.4979532625
119	0.4979296061
120	0.4979091857
121	0.4978873449
122	0.4978577042
123	0.4978287619
124	0.4978031693
125	0.497769721
126	0.4977440452
127	0.4977089309
128	0.4976954217
129	0.4976638952
130	0.4976256858
131	0.4976006251
132	0.4975657148
133	0.4975425043
134	0.4975045985
135	0.4974731128
136	0.4974486876
137	0.4974283931
138	0.4973918128
139	0.4973682588
140	0.4973348477
141	0.4973130595
142	0.4972812515
143	0.4972428022
144	0.497224629
145	0.4971919941
146	0.4971607542
147	0.4971443782
148	0.4971126844
149	0.4970796177
150	0.4970477943
151	0.4970259266
152	0.4969985727
153	0.496982934
154	0.4969602375
155	0.4969444113
156	0.4969149066
157	0.4968830357
158	0.4968694393
159	0.4968374261
160	0.4968149815
161	0.4967760409
162	0.4967412652
163	0.4967122514
164	0.4966909535
165	0.4966721109
166	0.4966363699
167	0.4966146212
168	0.4965879497
169	0.4965543485
170	0.4965274315
171	0.496493559
172	0.4964751747
173	0.4964364375
174	0.4964048254
175	0.4963699534
176	0.4963413796
177	0.4963071975
178	0.4962818527
179	0.496255602
180	0.4962229083
181	0.4962023236
182	0.4961765952
183	0.4961605794
184	0.4961397011
185	0.4961106161
186	0.4960718949
187	0.496044575
188	0.4960049674
189	0.4959822938
190	0.4959664231
191	0.4959253071
192	0.4958961685
193	0.4958761825
194	0.4958483449
195	0.4958178395
196	0.4958036436
197	0.49577627
198	0.4957407081
199	0.4957190162
200	0.4956908224
201	0.4956557133
202	0.4956262778
203	0.4955999142
204	0.4955817783
205	0.495564833
206	0.4955499773
207	0.4955121806
208	0.4954677118
209	0.4954370537
210	0.4954078695
211	0.4953895452
212	0.4953609998
213	0.4953291373
214	0.4953053002
215	0.495274983
216	0.4952450721
217	0.4952228096
218	0.4951971854
219	0.4951826863
220	0.4951597148
221	0.4951328594
222	0.4951114418
223	0.4950765261
224	0.4950456935
225	0.4950153094
226	0.4949952224
227	0.4949730088
228	0.494956292
229	0.4949260372
230	0.4948977191
231	0.4948778757
232	0.4948490186
233	0.4948123898
234	0.494790022
235	0.4947651753
236	0.494741413
237	0.4947251022
238	0.4947022472
239	0.4946749926
240	0.4946502795
241	0.4946187772
242	0.4945916956
243	0.494568624
244	0.4945425653
245	0.4945211839
246	0.4945062111
247	0.4944902348
248	0.494456757
249	0.4944217469
250	0.4943971562
251	0.4943703504
252	0.4943407895
253	0.4943240691
254	0.4942886129
255	0.494269529
256	0.4942531254
257	0.4942346324
258	0.4942140041
259	0.4942027917
260	0.4941762424
261	0.4941621471
262	0.4941326818
263	0.494118788
264	0.4940892841
265	0.4940803268
266	0.4940604935
267	0.4940425625
268	0.494008878
269	0.4939785066
270	0.4939415246
271	0.4939153638
272	0.4938953591
273	0.493875539
274	0.493857128
275	0.4938362186
276	0.4938066354
277	0.4937721931
278	0.4937475983
279	0.4937210884
280	0.4936917927
281	0.4936811241
282	0.4936590037
283	0.4936303316
284	0.4936170888
285	0.4935875965
286	0.4935603704
287	0.4935296482
288	0.4935131374
289	0.4934816819
290	0.4934529898
291	0.4934303124
292	0.4933994938
293	0.4933840971
294	0.4933551481
295	0.4933208435
296	0.4932960764
297	0.4932653063
298	0.4932427052
299	0.4932172311
300	0.4931897988
301	0.4931748604
302	0.4931453457
303	0.493127191
304	0.4931011244
305	0.4930811643
306	0.4930620793
307	0.4930408296
308	0.4930161792
309	0.4929962008
310	0.4929654984
311	0.4929344918
312	0.4929168529
313	0.4928989185
314	0.492876758
315	0.4928599197
316	0.4928305095
317	0.4928063073
318	0.492776872
319	0.4927585802
320	0.4927228559
321	0.4927036058
322	0.4926799911
323	0.4926523741
324	0.4926345652
325	0.4925977564
326	0.4925719642
327	0.4925513196
328	0.4925311308
329	0.4925103606
330	0.4924973337
331	0.492472065
332	0.4924578867
333	0.4924310908
334	0.4924012379
335	0.4923797456
336	0.4923495424
337	0.4923238477
338	0.4923103836
339	0.4922834023
340	0.4922543599
341	0.4922352677
342	0.4922154967
343	0.492178492
344	0.4921661461
345	0.4921519928
346	0.4921287473
347	0.4921132638
348	0.4921105148
349	0.4920868379
350	0.492053853
351	0.4920345882
352	0.49201092
353	0.4919986376
354	0.491974489
355	0.4919466466
356	0.4919255247
357	0.4918941297
358	0.4918691733
359	0.4918350954
360	0.4918100807
361	0.4917807187
362	0.4917480822
363	0.4917216404
364	0.4917072099
365	0.4916956139
366	0.4916700401
367	0.4916445755
368	0.4916089907
369	0.4915845053
370	0.4915740466
371	0.4915517264
372	0.4915314842
373	0.4915044354
374	0.4914816251
375	0.4914571594
376	0.4914260835
377	0.4914059342
378	0.4913905007
379	0.4913646662
380	0.4913394415
381	0.4913197137
382	0.4913140346
383	0.4912975457
384	0.4912743783
385	0.4912611405
386	0.4912372241
387	0.4912161652
388	0.4911846745
389	0.4911516257
390	0.4911341427
391	0.4911095814
392	0.4910827058
393	0.4910497753
394	0.4910333559
395	0.4910196298
396	0.4909987146
397	0.4909701879
398	0.490935529
399	0.4909225627
400	0.490894039
401	0.49086038
402	0.4908345633
403	0.4908066492
404	0.4907916
405	0.4907651964
406	0.490747502
407	0.4907301797
408	0.4907139724
409	0.4906843885
410	0.4906628733
411	0.4906442873
412	0.4906177921
413	0.4905963086
414	0.4905718884
415	0.490555216
416	0.490530914
417	0.4905108786
418	0.4905008907
419	0.4904825904
420	0.4904597876
421	0.4904383313
422	0.4904121011
423	0.4903837047
424	0.4903639793
425	0.4903393509
426	0.490307305
427	0.4902839112
428	0.490248742
429	0.4902301975
430	0.4902112342
431	0.4901868016
432	0.4901785171
433	0.4901556962
434	0.4901342801
435	0.4901092347
436	0.4900836788
437	0.4900721522
438	0.4900529565
439	0.4900319986
440	0.49001601
441	0.4899919511
442	0.4899779376
443	0.4899545006
444	0.4899464196
445	0.4899229493
446	0.4899008694
447	0.4898887265
448	0.4898674695
449	0.4898487294
450	0.4898215243
451	0.4898004346
452	0.4897885759
453	0.4897728451
454	0.4897553477
455	0.4897332003
456	0.489720649
457	0.4897014222
458	0.4896754096
459	0.4896488157
460	0.4896250535
461	0.489598973
462	0.4895747933
463	0.4895437934
464	0.489531487
465	0.489501223
466	0.4894778461
467	0.4894490264
468	0.4894179724
469	0.4894034723
470	0.4893747608
471	0.489357524
472	0.4893335545
473	0.4893194217
474	0.4893041606
475	0.4892821167
476	0.4892729571
477	0.48925048
478	0.4892278816
479	0.4891997206
480	0.4891798408
481	0.4891572629
482	0.489134623
483	0.4891139646
484	0.4890862225
485	0.489057212
486	0.4890371673
487	0.489006972
488	0.4889900789
489	0.4889682175
490	0.4889454417
491	0.4889302472
492	0.4889147568
493	0.4888936143
494	0.4888704855
495	0.4888492402
496	0.4888243079
497	0.4887950523
498	0.4887722671
499	0.488749402
500	0.4887239456
501	0.4886933252
502	0.4886730044
503	0.488649452
504	0.4886255908
505	0.4886162524
506	0.4885839459
507	0.4885728099
508	0.4885511815
509	0.4885331023
510	0.4885071408
511	0.4884859364
512	0.4884754786
513	0.4884524298
514	0.4884346381
515	0.4884146207
516	0.4884015989
517	0.4883849845
518	0.4883573496
519	0.4883393277
520	0.4883107896
521	0.488288617
522	0.4882658761
523	0.4882427777
524	0.4882239398
525	0.4882120153
526	0.4881800049
527	0.4881686109
528	0.4881439221
529	0.4881211645
530	0.4880898589
531	0.4880752451
532	0.4880524119
533	0.4880249811
534	0.4880039668
535	0.4879758124
536	0.4879589992
537	0.487938823
538	0.4879169499
539	0.4878894302
540	0.4878721331
541	0.4878589035
542	0.4878432809
543	0.487820677
544	0.4877893628
545	0.4877735833
546	0.48776452
547	0.4877511839
548	0.4877229334
549	0.4877013907
550	0.4876799942
551	0.487664878
552	0.4876436254
553	0.4876220844
554	0.4876016663
555	0.4875825473
556	0.4875575486
557	0.4875364255
558	0.4875093372
559	0.4874895269
560	0.487473416
561	0.4874409503
562	0.487421425
563	0.4873925961
564	0.4873714169
565	0.4873474726
566	0.4873232905
567	0.4872959018
568	0.487273492
569	0.4872479686
570	0.4872325386
571	0.4872100809
572	0.4871893544
573	0.4871711194
574	0.4871512587
575	0.4871262081
576	0.4871072201
577	0.4870774749
578	0.4870558109
579	0.4870372258
580	0.487017396
581	0.487005118
582	0.4869753244
583	0.4869582349
584	0.4869355459
585	0.4869166305
586	0.4868935281
587	0.4868747632
588	0.4868639723
589	0.486839244
590	0.4868140742
591	0.4867890538
592	0.486775338
593	0.4867543849
594	0.4867338477
595	0.4867125476
596	0.4866892266
597	0.4866727065
598	0.4866522344
599	0.486623862
600	0.4866001724
601	0.4865887328
602	0.4865698296
603	0.4865517462
604	0.4865267875
605	0.4865132155
606	0.4864889543
607	0.4864664778
608	0.4864381519
609	0.4864148993
610	0.4863947603
611	0.4863837806
612	0.4863727787
613	0.4863488993
614	0.4863366093
615	0.486323587
616	0.4863021667
617	0.4862831818
618	0.4862702056
619	0.4862488133
620	0.4862291637
621	0.4862078826
622	0.4861803286
623	0.4861620335
624	0.4861415436
625	0.4861217346
626	0.4861042839
627	0.4860933096
628	0.4860847922
629	0.4860742316
630	0.4860526254
631	0.4860371986
632	0.4860134311
633	0.4859895617
634	0.4859738437
635	0.4859607164
636	0.4859417515
637	0.485918129
638	0.485907647
639	0.4858929147
640	0.4858784165
641	0.4858566896
642	0.485846084
643	0.4858305241
644	0.4858209983
645	0.485800814
646	0.4857838035
647	0.4857586053
648	0.4857279562
649	0.4857086502
650	0.4856904982
651	0.4856716312
652	0.485650904
653	0.4856257969
654	0.485598661
655	0.4855673939
656	0.4855408712
657	0.4855200392
658	0.4855026952
659	0.4854910636
660	0.4854641606
661	0.4854420142
662	0.4854168403
663	0.4853973367
664	0.4853783774
665	0.4853576533
666	0.4853342253
667	0.4853105853
668	0.485284505
669	0.4852604922
670	0.4852378705
671	0.4852235818
672	0.485205798
673	0.4851947459
674	0.485180587
675	0.4851618606
676	0.4851411901
677	0.4851117931
678	0.485097138
679	0.4850784043
680	0.4850562323
681	0.4850359459
682	0.4850217303
683	0.4850164248
684	0.4849922996
685	0.4849684461
686	0.484937822
687	0.4849183481
688	0.4848925364
689	0.4848712131
690	0.4848451933
691	0.4848298023
692	0.4848050146
693	0.4847876778
694	0.4847644088
695	0.4847509238
696	0.4847272714
697	0.4847005325
698	0.4846783216
699	0.4846535336
700	0.4846318854
701	0.484610314
702	0.4845935764
703	0.4845823975
704	0.4845635917
705	0.484538753
706	0.4845178852
707	0.4845006468
708	0.4844806823
709	0.4844598979
710	0.4844416904
711	0.4844160422
712	0.4843870692
713	0.484365545
714	0.4843354891
715	0.4843189823
716	0.4842995424
717	0.4842749569
718	0.4842506126
719	0.4842277702
720	0.4842142045
721	0.4841874111
722	0.4841771324
723	0.4841490266
724	0.4841302567
725	0.4841123049
726	0.4840868583
727	0.4840619636
728	0.4840417638
729	0.4840243118
730	0.4840066587
731	0.4839853449
732	0.4839664379
733	0.4839484039
734	0.4839222978
735	0.483896691
736	0.4838744828
737	0.4838663517
738	0.483846514
739	0.4838265127
740	0.4838099378
741	0.4837906454
742	0.4837707215
743	0.4837524125
744	0.483725061
745	0.4837081478
746	0.4836832404
747	0.4836630268
748	0.4836409275
749	0.4836177606
750	0.483594228
751	0.4835745504
752	0.4835627615
753	0.4835450683
754	0.4835268522
755	0.483509134
756	0.4834884083
757	0.4834744002
758	0.4834713794
759	0.4834535794
760	0.4834320908
761	0.4834158877
762	0.483406675
763	0.4833812727
764	0.4833712843
765	0.4833585065
766	0.4833433943
767	0.483328581
768	0.4833106573
769	0.4832808026
770	0.4832695615
771	0.483251597
772	0.4832307957
773	0.4832191639
774	0.4831913174
775	0.4831600366
776	0.4831437794
777	0.4831216037
778	0.4831060608
779	0.4830842411
780	0.4830703835
781	0.4830491678
782	0.4830313884
783	0.4830073085
784	0.4829917393
785	0.4829842691
786	0.4829737233
787	0.4829525385
788	0.4829308738
789	0.48290946
790	0.4828892622
791	0.4828721316
792	0.4828571828
793	0.4828418998
794	0.4828141731
795	0.4827934139
796	0.4827727332
797	0.4827599123
798	0.4827361027
799	0.4827204874
800	0.4827018084
801	0.4826814472
802	0.4826623977
803	0.4826415815
804	0.4826185955
805	0.4825990943
806	0.4825767511
807	0.4825613762
808	0.4825353111
809	0.4825229584
810	0.4825026795
811	0.4824835539
812	0.4824705921
813	0.4824580559
814	0.4824363218
815	0.4824158562
816	0.4823938113
817	0.4823780087
818	0.4823542424
819	0.4823385439
820	0.4823193397
821	0.482299436
822	0.4822725479
823	0.4822621521
824	0.4822484271
825	0.4822264414
826	0.4822115483
827	0.4821835688
828	0.4821657463
829	0.4821484208
830	0.4821316326
831	0.4821200411
832	0.4820949532
833	0.4820721901
834	0.4820609612
835	0.4820359628
836	0.4820207407
837	0.4820095074
838	0.4819971431
839	0.4819772788
840	0.4819586933
841	0.4819469226
842	0.4819232344
843	0.4819110726
844	0.4818949412
845	0.4818781978
846	0.4818733073
847	0.4818538028
848	0.4818313019
849	0.4818146503
850	0.4817960637
851	0.4817860931
852	0.4817686684
853	0.4817502692
854	0.4817330553
855	0.4817173129
856	0.4816979089
857	0.4816745828
858	0.4816610744
859	0.4816417342
860	0.4816179738
861	0.4815920648
862	0.4815667993
863	0.4815482895
864	0.4815339283
